-----------------------------------
Time profiling for the matrix inverse function:
Forward elimination: 0.44s (64.71%)
Backward elimination: 0.24s (35.29%)
Inverse function total: 0.68s (1)
-----------------------------------
Total time for the direct method: 15.38s
Result x is: Matrix [1000][1]:
	[ ,0]	
[771, ]	0.000946 	
[772, ]	0.0005193 	
[773, ]	0.0007535 	
[774, ]	0.001279 	
[775, ]	0.001037 	
[776, ]	0.001403 	
[777, ]	-0.0004753 	
[778, ]	2.102e-05 	
[779, ]	0.0003148 	
[780, ]	-0.000254 	
[781, ]	0.0006669 	
[782, ]	0.0001535 	
[783, ]	0.0002571 	
[784, ]	0.0009568 	
[785, ]	-9.567e-05 	
[786, ]	-9.458e-05 	
[787, ]	0.0008511 	
[788, ]	0.001024 	
[789, ]	-3.948e-05 	
[790, ]	0.0002893 	
[791, ]	-1.487e-05 	
[792, ]	0.001169 	
[793, ]	0.0003366 	
[794, ]	-0.0002067 	
[795, ]	-4.674e-06 	
[796, ]	0.0008855 	
[797, ]	0.0002639 	
[798, ]	-0.0004957 	
[799, ]	0.001193 	
[800, ]	0.0008697 	
[801, ]	-0.0001829 	
[802, ]	-0.0002596 	
[803, ]	0.001491 	
[804, ]	0.0003004 	
[805, ]	0.0001776 	
[806, ]	0.0007928 	
[807, ]	0.001201 	
[808, ]	0.0008679 	
[809, ]	0.001019 	
[810, ]	0.0003496 	
[811, ]	0.0001162 	
[812, ]	0.001281 	
[813, ]	-0.0005075 	
[814, ]	0.001207 	
[815, ]	0.0004314 	
[816, ]	0.0009859 	
[817, ]	0.0007553 	
[818, ]	0.0005442 	
[819, ]	-8.267e-05 	
[820, ]	0.0001594 	
[821, ]	0.00101 	
[822, ]	0.001041 	
[823, ]	0.00017 	
[824, ]	0.0002918 	
[825, ]	0.0001241 	
[826, ]	0.001208 	
[827, ]	0.001291 	
[828, ]	0.0003255 	
[829, ]	-0.0004577 	
[830, ]	-0.0001662 	
[831, ]	-5.237e-05 	
[832, ]	-0.000239 	
[833, ]	0.0003887 	
[834, ]	-9.676e-05 	
[835, ]	4.694e-05 	
[836, ]	6.508e-05 	
[837, ]	0.0008085 	
[838, ]	0.001459 	
[839, ]	0.0006782 	
[840, ]	0.0009768 	
[841, ]	-0.0003956 	
[842, ]	0.0003563 	
[843, ]	0.001473 	
[844, ]	0.0001253 	
[845, ]	-0.0003452 	
[846, ]	0.0001937 	
[847, ]	0.001131 	
[848, ]	0.0006056 	
[849, ]	0.001031 	
[850, ]	0.0009732 	
[851, ]	0.001173 	
[852, ]	-0.0004822 	
[853, ]	0.001014 	
[854, ]	3.918e-05 	
[855, ]	-0.0002295 	
[856, ]	-0.0002904 	
[857, ]	0.0004691 	
[858, ]	0.0002418 	
[859, ]	0.0006237 	
[860, ]	0.0007468 	
[861, ]	-0.0002271 	
[862, ]	2.642e-05 	
[863, ]	-0.0003152 	
[864, ]	0.0005394 	
[865, ]	0.0008656 	
[866, ]	-8.676e-06 	
[867, ]	0.0006526 	
[868, ]	0.0005739 	
[869, ]	0.0007834 	
[870, ]	0.0006714 	
[871, ]	0.0006887 	
[872, ]	-0.0001803 	
[873, ]	0.0009448 	
[874, ]	-0.0004844 	
[875, ]	-0.0004149 	
[876, ]	0.001408 	
[877, ]	0.00108 	
[878, ]	0.0005178 	
[879, ]	0.001089 	
[880, ]	4.576e-05 	
[881, ]	0.000504 	
[882, ]	-0.0003219 	
[883, ]	6.066e-05 	
[884, ]	0.00118 	
[885, ]	0.001087 	
[886, ]	-0.0004781 	
[887, ]	-0.0003129 	
[888, ]	-0.0003705 	
[889, ]	0.001129 	
[890, ]	0.001409 	
[891, ]	0.000838 	
[892, ]	0.0002018 	
[893, ]	-9.572e-05 	
[894, ]	0.001191 	
[895, ]	-0.0003916 	
[896, ]	0.0005378 	
[897, ]	0.0004092 	
[898, ]	0.001086 	
[899, ]	-0.0002472 	
[900, ]	0.0007767 	
[901, ]	-0.0002987 	
[902, ]	-0.0003431 	
[903, ]	0.0004332 	
[904, ]	0.0001767 	
[905, ]	0.0008124 	
[906, ]	0.0008187 	
[907, ]	0.000732 	
[908, ]	0.001321 	
[909, ]	0.001251 	
[910, ]	0.0008554 	
[911, ]	-0.0001842 	
[912, ]	-5.903e-05 	
[913, ]	0.0003495 	
[914, ]	0.0005663 	
[915, ]	0.0007163 	
[916, ]	0.001401 	
[917, ]	0.0002907 	
[918, ]	0.0006936 	
[919, ]	0.000524 	
[920, ]	0.001093 	
[921, ]	-0.0003757 	
[922, ]	0.0006678 	
[923, ]	-0.0003559 	
[924, ]	0.001168 	
[925, ]	0.0008171 	
